WAGE	AGE	AGE2	AGEW	AGEY	CHILDREN	DEGREEW	FEDUCA	FEDUCH	GRADCOLLW	GRADHS	GRADHSW	HAPPINESS	MARRIED	MEDUCA	MEDUCH	SEX	YEARSCOLL	STATE	GRADCOLL	DEGREE
10.36999989	29	841	0	3	3	0	0	3	0	1	0	3	2	0	7	2	2	26	5	0
37	25	625	0	4	1	0	0	4	0	1	0	3	2	0	6	2	4	48	1	2
24.68000031	51	2601	47	0	0	0	0	2	0	1	1	1	1	0	4	1	0	20	0	0
14	42	1764	0	0	0	0	0	7	0	1	0	1	4	0	3	1	0	45	0	0
12.5	32	1024	31	6	3	0	0	7	5	1	1	3	1	0	6	1	3	13	5	0
14.5	56	3136	0	0	0	0	0	5	0	1	0	1	5	0	4	1	2	48	5	0
8	47	2209	41	9	2	0	0	4	0	1	1	1	1	0	3	1	0	18	0	0
8	48	2304	0	0	0	0	0	4	0	1	0	3	2	0	6	2	2	28	5	0
17	41	1681	0	17	1	0	0	8	0	1	0	2	4	0	8	2	0	6	0	0
65	70	4900	0	0	0	0	0	8	0	1	0	1	4	0	6	2	3	34	5	0
105	50	2500	48	15	1	0	0	8	5	1	1	3	1	0	5	1	3	27	5	0
30.12000084	40	1600	40	10	2	0	0	4	5	1	1	1	1	0	4	1	0	29	0	0
20	37	1369	37	8	1	0	0	4	5	1	1	2	1	0	4	1	4	39	1	2
8	23	529	0	0	0	0	0	3	0	1	0	1	2	0	3	1	0	39	0	0
7.75	31	961	0	12	3	0	0	4	0	1	0	3	2	0	4	2	1	29	5	0
27.75	69	4761	0	0	0	0	0	2	0	1	0	2	4	0	4	2	4	17	1	2
21	24	576	22	1	1	0	0	4	0	1	1	2	1	0	4	1	4	39	1	2
17	64	4096	63	0	0	2	0	3	1	1	1	2	1	0	7	1	5	23	1	3
10.5	31	961	0	0	0	0	6	0	0	2	0	4	2	5	0	1	0	6	0	0
15.75	41	1681	43	8	1	0	0	4	5	1	1	2	1	0	4	1	0	47	0	0
20	34	1156	33	0	0	2	0	8	1	1	1	2	1	0	4	1	2	6	1	1
20	54	2916	63	0	0	0	0	0	0	2	1	3	1	0	0	1	0	37	0	0
12.5	37	1369	0	5	1	0	0	4	0	1	0	3	4	0	4	1	3	6	5	0
20.44000053	33	1089	0	0	0	0	0	2	0	1	0	1	2	0	6	1	2	28	5	0
9.350000381	23	529	0	0	0	0	0	3	0	1	0	4	2	0	4	2	2	39	1	1
10.81000042	48	2304	0	0	0	0	0	4	0	1	0	3	2	0	4	2	0	13	0	0
8	28	784	24	5	1	0	4	0	5	0	1	2	1	4	0	1	0	6	0	0
12	36	1296	44	0	0	0	0	4	0	3	1	1	4	0	4	1	0	39	0	0
10.19999981	57	3249	51	0	0	0	0	6	5	1	1	3	1	0	4	1	4	47	1	2
19.45000076	27	729	0	0	0	0	0	4	0	1	0	2	2	0	4	2	4	20	1	2
33	58	3364	52	0	0	0	0	4	0	1	3	2	1	0	7	1	2	42	5	0
10	27	729	0	8	1	0	0	4	0	2	0	3	2	0	3	2	2	39	5	0
23.25	29	841	30	1	1	2	0	7	1	1	1	1	1	0	7	1	2	39	1	1
33	60	3600	50	0	0	0	0	1	0	2	1	3	1	0	2	1	0	48	0	0
22.5	35	1225	29	1	3	0	0	4	0	1	1	2	1	0	6	1	2	53	1	1
35	33	1089	34	1	1	0	0	0	5	1	1	2	1	0	0	1	4	37	1	2
19	55	3025	52	0	0	0	10	0	0	1	3	1	1	0	4	1	0	6	0	0
15.5	59	3481	54	0	0	2	0	4	1	1	2	3	1	0	4	1	4	47	1	2
18.25	57	3249	0	0	0	0	0	4	0	1	0	3	4	0	6	1	0	25	0	0
7.28000021	56	3136	52	0	0	2	0	7	1	1	1	2	1	0	7	1	4	8	1	2
